step,trial_0,trial_1,trial_2,mean,std,best
2000.000,155.052,155.087,155.653,155.264,0.275,155.264
4000.000,112.777,112.368,112.759,112.635,0.189,112.635
6000.000,72.942,72.098,74.082,73.041,0.813,73.041
8000.000,67.786,67.156,66.605,67.182,0.482,67.182
10000.000,51.223,52.006,51.487,51.572,0.325,51.572
12000.000,39.145,38.947,39.091,39.061,0.084,39.061
14000.000,35.614,35.592,35.421,35.542,0.086,35.542
16000.000,32.092,31.559,31.936,31.862,0.224,31.862
18000.000,34.796,34.968,34.866,34.876,0.070,31.862
20000.000,29.070,29.659,29.555,29.428,0.257,29.428
22000.000,28.162,28.292,28.195,28.216,0.055,28.216
24000.000,32.333,32.345,33.311,32.663,0.458,28.216
26000.000,27.198,26.748,27.350,27.099,0.256,27.099
